cd_cvm,company_name,issuing_code,nome_pregao,fonte,confianca,ticker_b3,yf_validado
14664,SCHULZ,SHUL,SCHULZ S.A.,cvm_code,1.0,,
16292,BRF S.A.,BRFS,BRF S.A.,cvm_code,1.0,,
16306,ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL,RSID,ROSSI RESIDENCIAL S.A.,cvm_code,1.0,,
16438,OPPORTUNITY SUL S.A.,OPTS,SUL 116 PARTICIPACOES S.A.,cvm_code,1.0,,
16659,PORTO SEGURO SA,PSSA,PORTO SEGURO S.A.,cvm_code,1.0,,
17892,SANTOS BRASIL PARTICIPAÇÕES S.A.,STBP,SANTOS BRASIL PARTICIPACOES S.A.,cvm_code,1.0,,
17949,MRS LOGÍSTICA S/A,MRSA,MRS LOGISTICA S.A.,cvm_code,1.0,,
18368,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA,RIO PARANAPANEMA ENERGIA S.A.,cvm_code,1.0,,
18465,ULTRAPAR PARTICIPAÇÕES SA,UGPA,ULTRAPAR PARTICIPACOES S.A.,cvm_code,1.0,,
18775,INVEPAR,IVPR,INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,cvm_code,1.0,,
19232,PROMAN,PRMN,PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,cvm_code,1.0,,
19330,TPI,TPIS,TPI - TRIUNFO PARTICIP. E INVEST. S.A.,cvm_code,1.0,,
19739,LOCALIZA RENT A CAR,RENT,LOCALIZA RENT A CAR S.A.,cvm_code,1.0,,
19771,ARTERIS,ARTR,ARTERIS S.A.,cvm_code,1.0,,
19909,BR MALLS PARTICIPAÇOES S.A.,BRML,BR MALLS PARTICIPACOES S.A.,cvm_code,1.0,,
20010,EQUATORIAL S.A.,EQTL,EQUATORIAL S.A.,cvm_code,1.0,,
20028,AMERICAN BANKNOTE COMPANY,VLID,VALID SOLUÇÕES S.A.,cvm_code,1.0,,
